x,y,z,heading_angle,speed,curvature,longitude, latitude,altitude,attribute
247099.8701,3488529.568,13.735714,106.190476,0,0.001358,120.337219,31.503976,13.735714,0
247099.8313,3488529.714,13.735238,106.201905,0,0.001325,120.337218,31.503977,13.735238,0
247099.7914,3488529.864,13.734762,106.214285,0,0.001393,120.337218,31.503978,13.734762,0
247099.7513,3488530.014,13.734286,106.225714,0,0.001279,120.337217,31.50398,13.734286,0
247099.7104,3488530.168,13.73381,106.237142,0,0.001258,120.337217,31.503981,13.73381,0
247099.6699,3488530.319,13.733333,106.249047,0,0.001322,120.337217,31.503982,13.733333,0
247099.6301,3488530.468,13.732632,106.260526,0,0.001304,120.337216,31.503984,13.732632,0
247099.5906,3488530.615,13.731765,106.271176,0,0.00122,120.337216,31.503985,13.731765,0
247099.5515,3488530.761,13.730667,106.281332,0,0.001176,120.337215,31.503986,13.730667,0
247099.5128,3488530.905,13.73,106.293076,0,0.001372,120.337215,31.503988,13.73,0
247099.4743,3488531.049,13.73,106.304545,0,0.001344,120.337214,31.503989,13.73,0
247099.4353,3488531.195,13.73,106.315554,0,0.001272,120.337214,31.50399,13.73,0
247099.3946,3488531.348,13.73,106.327142,0,0.001275,120.337213,31.503992,13.73,0
247099.3484,3488531.523,13.73,106.341998,0,0.001432,120.337213,31.503993,13.73,0
247099.2974,3488531.716,13.73,106.353333,0,0.000991,120.337212,31.503995,13.73,0
247099.2529,3488531.882,13.73,106.370003,0,0.001693,120.337212,31.503996,13.73,0
